feature,gene,importance,abs_importance,importance_type,antibiotic,model,model_label
amr__x_16s_rrna_guanine1405-n7-methyltransferase_rmtb1,x_16s_rrna_guanine1405-n7-methyltransferase_rmtb1,0.110104,0.110104,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra51,trimethoprim-resistant_dihydrofolate_reductase_dfra51,0.104331,0.104331,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_lincosamide_nucleotidyltransferase_lnuf,multispecies_lincosamide_nucleotidyltransferase_lnuf,-0.101274,0.101274,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__adiy,adiy,-0.100837,0.100837,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aminoglycoside_2-nucleotidyltransferase_ec_2.7.7.46_ant2-ia_aadb_family,aminoglycoside_2-nucleotidyltransferase_ec_2.7.7.46_ant2-ia_aadb_family,-0.100735,0.100735,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__mdtm,mdtm,0.100078,0.100078,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_broad-spectrum_beta-lactamase_tem-116,multispecies_class_a_broad-spectrum_beta-lactamase_tem-116,0.099922,0.099922,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ib-cr_fluoroquinolone-acetylating,aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ib-cr_fluoroquinolone-acetylating,0.099896,0.099896,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__mpra,mpra,-0.099611,0.099611,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__oxygen-insensitive_nadph_nitroreductase_ec_1.-.-.-,oxygen-insensitive_nadph_nitroreductase_ec_1.-.-.-,0.099082,0.099082,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aada1,aada1,0.098658,0.098658,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__ef-tu,ef-tu,-0.098634,0.098634,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,0.09852,0.09852,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__chloramphenicolflorfenicol_efflux_mfs_transporter_flor,chloramphenicolflorfenicol_efflux_mfs_transporter_flor,-0.097924,0.097924,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__macrolide_2-phosphotransferase_mpha_family,macrolide_2-phosphotransferase_mpha_family,0.096409,0.096409,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__rosa,rosa,-0.096237,0.096237,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__mpha_family_macrolide_2-phosphotransferase,mpha_family_macrolide_2-phosphotransferase,0.095947,0.095947,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_aminoglycoside_nucleotidyltransferase_ant2-ia,multispecies_aminoglycoside_nucleotidyltransferase_ant2-ia,0.095719,0.095719,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__major_facilitator_superfamily_transporter._multidrug_resistance_efflux_pump.,major_facilitator_superfamily_transporter._multidrug_resistance_efflux_pump.,0.095576,0.095576,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__oxa-1_family,oxa-1_family,0.093219,0.093219,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aph6-i,aph6-i,0.092962,0.092962,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__subclass_b1_beta-lactamase_ec_3.5.2.6_ndm_family,subclass_b1_beta-lactamase_ec_3.5.2.6_ndm_family,0.092571,0.092571,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra5,trimethoprim-resistant_dihydrofolate_reductase_dfra5,-0.092395,0.092395,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__rplf,rplf,0.09039,0.09039,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__qnrs1,qnrs1,-0.089475,0.089475,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__ybjg,ybjg,-0.088462,0.088462,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__brpmbl,brpmbl,0.087874,0.087874,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__cmy-132,cmy-132,0.087645,0.087645,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra14,trimethoprim-resistant_dihydrofolate_reductase_dfra14,0.087458,0.087458,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,0.087349,0.087349,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__macrolide-specific_efflux_protein_maca,macrolide-specific_efflux_protein_maca,-0.086966,0.086966,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-1,multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-1,0.086822,0.086822,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__fola_dfr,fola_dfr,0.086636,0.086636,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__bleomycin_binding_protein_ble-mbl,bleomycin_binding_protein_ble-mbl,0.085623,0.085623,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__phopphoq_regulator_mgrb,phopphoq_regulator_mgrb,-0.084095,0.084095,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
