antibiotic,model,model_label,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance,selection_fraction
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,15,4.8,0.490932,0.490932,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,15,6.133333,0.461246,0.461246,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,15,6.6,0.454099,0.454099,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,15,8.933333,0.392454,0.392454,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,15,9.0,0.389272,0.389272,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,15,9.133333,0.39141,0.39141,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,15,10.2,0.370609,0.370609,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,15,13.666667,0.249763,0.249763,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,14,12.571429,0.27219,0.27219,0.933333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__response_regulator_baer,response_regulator_baer,13,16.538462,0.217996,-0.217996,0.866667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__qnrs1,qnrs1,11,15.363636,0.229335,0.229335,0.733333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,11,15.636364,0.228285,-0.228285,0.733333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m-55,ctx-m-55,11,16.545455,0.218595,0.218595,0.733333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,9,16.888889,0.214576,0.214576,0.6
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,9,17.666667,0.209682,0.209682,0.6
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m-27,ctx-m-27,6,18.166667,0.214097,0.214097,0.4
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m-1,ctx-m-1,6,18.5,0.204425,0.204425,0.4
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,4,16.75,0.2116,0.2116,0.266667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multidrug_resistance_protein_mdtg,multidrug_resistance_protein_mdtg,3,18.0,0.205968,-0.205968,0.2
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__lsu_ribosomal_protein_l6p_l9e,lsu_ribosomal_protein_l6p_l9e,2,16.0,0.240586,-0.240586,0.133333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,2,16.5,0.22572,-0.22572,0.133333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,2,17.0,0.208854,-0.208854,0.133333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-55,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-55,2,17.5,0.20823,0.20823,0.133333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__broad-spectrum_class_a_beta-lactamase_tem-1,broad-spectrum_class_a_beta-lactamase_tem-1,2,17.5,0.199237,-0.199237,0.133333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,2,19.0,0.195741,0.195741,0.133333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__hypothetical_protein,hypothetical_protein,1,12.0,0.251746,-0.251746,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,1,13.0,0.266867,-0.266867,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,1,13.0,0.2449,-0.2449,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__oxa-1_family_class_d_beta-lactamase,oxa-1_family_class_d_beta-lactamase,1,15.0,0.21286,0.21286,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,1,16.0,0.229363,0.229363,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__catb3,catb3,1,17.0,0.213476,0.213476,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,1,18.0,0.213149,0.213149,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-55,extended-spectrum_class_a_beta-lactamase_ctx-m-55,1,18.0,0.199036,0.199036,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,1,19.0,0.177853,0.177853,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__mpha,mpha,1,20.0,0.201687,0.201687,0.066667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,1,20.0,0.172449,-0.172449,0.066667
