feature,gene,importance,abs_importance,importance_type,antibiotic,model
amr__tetracycline_efflux_mfs_transporter_tetb,tetracycline_efflux_mfs_transporter_tetb,0.075,0.075,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada2,ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada2,-0.0746,0.0746,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__udp-4-amino-4-deoxy-l-arabinose--oxoglutarate_aminotransferase_ec_2.6.1.87,udp-4-amino-4-deoxy-l-arabinose--oxoglutarate_aminotransferase_ec_2.6.1.87,0.0735,0.0735,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__soxr,soxr,0.0729,0.0729,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.0728,0.0728,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_nitrofurantoin_resistant_nfsa,escherichia_nitrofurantoin_resistant_nfsa,0.0728,0.0728,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_23s_rrna_adenine2058-n6-methyltransferase_ermb,multispecies_23s_rrna_adenine2058-n6-methyltransferase_ermb,0.0726,0.0726,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multidrug_efflux_pump_mdfacmr_of_mfs_type_broad_spectrum,multidrug_efflux_pump_mdfacmr_of_mfs_type_broad_spectrum,-0.0726,0.0726,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ddlb,ddlb,-0.0725,0.0725,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__dna-binding_protein_h-ns,dna-binding_protein_h-ns,-0.0725,0.0725,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__dhfrv,dhfrv,-0.0723,0.0723,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__x_23s_rrna_adenine2058-n6-methyltransferase_ermb,x_23s_rrna_adenine2058-n6-methyltransferase_ermb,0.0721,0.0721,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ftsi_1,ftsi_1,0.072,0.072,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__cmla6,cmla6,0.0719,0.0719,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__class_a_beta-lactamase_ec_3.5.2.6_tem_family,class_a_beta-lactamase_ec_3.5.2.6_tem_family,0.0717,0.0717,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ompf,ompf,0.0713,0.0713,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_mphb_family_macrolide_2-phosphotransferase,multispecies_mphb_family_macrolide_2-phosphotransferase,-0.0711,0.0711,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__tetracycline_efflux_mfs_transporter_teta,tetracycline_efflux_mfs_transporter_teta,0.0703,0.0703,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_nad--rifampin_adp-ribosyltransferase_arr-2,multispecies_nad--rifampin_adp-ribosyltransferase_arr-2,0.0701,0.0701,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_ampc_beta-lactamase,escherichia_coli_ampc_beta-lactamase,-0.0698,0.0698,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__haemophilus_influenzae_pbp3_conferring_resistance_to_beta-lactam_antibiotics,haemophilus_influenzae_pbp3_conferring_resistance_to_beta-lactam_antibiotics,-0.0698,0.0698,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,0.0698,0.0698,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__baca,baca,0.0696,0.0696,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ugd,ugd,-0.0693,0.0693,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__tetc,tetc,0.069,0.069,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__tetracycline_resistance_mfs_efflux_pump_teta,tetracycline_resistance_mfs_efflux_pump_teta,0.0684,0.0684,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_cephalosporin-hydrolyzing_class_c_beta-lactamase_ec-5,multispecies_cephalosporin-hydrolyzing_class_c_beta-lactamase_ec-5,-0.0678,0.0678,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,0.0666,0.0666,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__epta_2,epta_2,0.0663,0.0663,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__kasa,kasa,-0.0663,0.0663,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ant2-ia,ant2-ia,0.0658,0.0658,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_aminoglycoside_o-phosphotransferase_aph3-ib,multispecies_aminoglycoside_o-phosphotransferase_aph3-ib,0.0647,0.0647,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__undecaprenyl-phosphate_4-deoxy-4-formamido-l-arabinose_transferase_ec_2.4.2.53,undecaprenyl-phosphate_4-deoxy-4-formamido-l-arabinose_transferase_ec_2.4.2.53,-0.064,0.064,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__acrz,acrz,-0.0633,0.0633,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aph3-ib,aph3-ib,0.063,0.063,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__bla,bla,0.0628,0.0628,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,0.0616,0.0616,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__tetracycline_resistance_ribosomal_protection_protein_tetm,tetracycline_resistance_ribosomal_protection_protein_tetm,-0.0616,0.0616,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__cephalosporin-hydrolyzing_class_c_beta-lactamase_ec-8,cephalosporin-hydrolyzing_class_c_beta-lactamase_ec-8,-0.0609,0.0609,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__envr,envr,-0.0608,0.0608,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__dfra8,dfra8,-0.0604,0.0604,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multidrug_resistance_outer_membrane_protein_mdtp,multidrug_resistance_outer_membrane_protein_mdtp,-0.0603,0.0603,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__iron_aquisition_outermembrane_yersiniabactin_receptor_fyuapsnpesticin_receptor_outer_membrane_receptor_for_ferric_sidero,iron_aquisition_outermembrane_yersiniabactin_receptor_fyuapsnpesticin_receptor_outer_membrane_receptor_for_ferric_sidero,-0.0599,0.0599,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__small_multidrug_resistance_smr_efflux_transporter_emre_broad_substrate_specificity,small_multidrug_resistance_smr_efflux_transporter_emre_broad_substrate_specificity,-0.0597,0.0597,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_acrab-tolc_with_acrr_mutation_conferring_resistance_to_ciprofloxacin_tetracycline_and_ceftazidime,escherichia_coli_acrab-tolc_with_acrr_mutation_conferring_resistance_to_ciprofloxacin_tetracycline_and_ceftazidime,0.0596,0.0596,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_ant3_family_aminoglycoside_nucleotidyltransferase,multispecies_ant3_family_aminoglycoside_nucleotidyltransferase,0.0592,0.0592,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
