feature,gene,importance,abs_importance,importance_type,antibiotic,model
amr__acrb_3,acrb_3,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__qacg,qacg,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__acrr_1,acrr_1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__cmy-163,cmy-163,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ctx-m-1,ctx-m-1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__plasmid-encoded_cat_pp-cat,plasmid-encoded_cat_pp-cat,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__cmla6,cmla6,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__class_a_beta-lactamase_ec_3.5.2.6_shv_family,class_a_beta-lactamase_ec_3.5.2.6_shv_family,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ompk36,ompk36,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__erea_family_erythromycin_esterase,erea_family_erythromycin_esterase,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__epta_1,epta_1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__emre_1,emre_1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_nad--rifampin_adp-ribosyltransferase_arr-2,multispecies_nad--rifampin_adp-ribosyltransferase_arr-2,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_phosphoethanolamine--lipid_a_transferase_mcr-1,multispecies_phosphoethanolamine--lipid_a_transferase_mcr-1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__fosmidomycin_resistance_protein,fosmidomycin_resistance_protein,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__gadw_3,gadw_3,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__bleomycin_binding_protein,bleomycin_binding_protein,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__multispecies_class_a_broad-spectrum_beta-lactamase_shv-1,multispecies_class_a_broad-spectrum_beta-lactamase_shv-1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__bcr_2,bcr_2,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__bcr_1,bcr_1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__iles,iles,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__arr-2,arr-2,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__arma,arma,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__msre,msre,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mphb_family_macrolide_2-phosphotransferase,mphb_family_macrolide_2-phosphotransferase,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__lipid_a_phosphoethanolamine_transferase_putative,lipid_a_phosphoethanolamine_transferase_putative,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mara_1,mara_1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__macrolide_efflux_mfs_transporter_mefb,macrolide_efflux_mfs_transporter_mefb,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__macrolide_2-phosphotransferase_mphb_family,macrolide_2-phosphotransferase_mphb_family,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__maca_2,maca_2,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__mcr-1.1,mcr-1.1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aminoglycoside_o-phosphotransferase_aph3-iia,aminoglycoside_o-phosphotransferase_aph3-iia,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aminoglycoside_nucleotidyltransferase_ant2-ia,aminoglycoside_nucleotidyltransferase_ant2-ia,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tetracycline_resistance_mfs_efflux_pump_tetd,tetracycline_resistance_mfs_efflux_pump_tetd,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__lincosamide_nucleotidyltransferase_lnuf,lincosamide_nucleotidyltransferase_lnuf,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__hns_2,hns_2,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ant2-ia,ant2-ia,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__marr_2,marr_2,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__kpc-3,kpc-3,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tufa_2,tufa_2,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__tufa_1,tufa_1,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__aada24,aada24,0.0,0.0,random_forest_gini_importance,ciprofloxacin,random_forest_balanced
amr__ctx-m-15,ctx-m-15,0.6851,0.6851,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__ctx-m_family,ctx-m_family,0.659,0.659,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__ctx-m-14,ctx-m-14,0.5592,0.5592,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__cmy-2,cmy-2,0.5298,0.5298,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.4942,0.4942,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.4779,0.4779,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.4617,0.4617,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,0.4139,0.4139,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.4079,0.4079,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,0.4063,0.4063,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,0.3883,0.3883,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.2682,0.2682,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,0.2639,0.2639,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__response_regulator_baer,response_regulator_baer,-0.2513,0.2513,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__qnrs1,qnrs1,0.2236,0.2236,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,-0.2202,0.2202,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__ctx-m-55,ctx-m-55,0.2193,0.2193,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.2038,0.2038,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.1932,0.1932,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__ctx-m-27,ctx-m-27,0.1905,0.1905,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__ctx-m-1,ctx-m-1,0.1841,0.1841,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multidrug_resistance_protein_mdtg,multidrug_resistance_protein_mdtg,-0.1764,0.1764,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,0.1735,0.1735,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,0.1697,0.1697,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,0.1684,0.1684,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.1615,0.1615,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__catb3,catb3,0.1608,0.1608,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.1584,0.1584,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-55,extended-spectrum_class_a_beta-lactamase_ctx-m-55,0.1579,0.1579,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__mpha,mpha,0.1521,0.1521,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.1516,0.1516,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__kpc-2,kpc-2,0.1507,0.1507,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,-0.15,0.15,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_aminoglycoside_o-phosphotransferase_aph6-id,multispecies_aminoglycoside_o-phosphotransferase_aph6-id,0.1477,0.1477,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,-0.1458,0.1458,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-55,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-55,0.1449,0.1449,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_coli_ef-tu_mutants_conferring_resistance_to_pulvomycin,escherichia_coli_ef-tu_mutants_conferring_resistance_to_pulvomycin,0.1418,0.1418,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_shv-12,multispecies_class_a_extended-spectrum_beta-lactamase_shv-12,0.1411,0.1411,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-27,extended-spectrum_class_a_beta-lactamase_ctx-m-27,0.1404,0.1404,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aminoglycoside_2-nucleotidyltransferase_ec_2.7.7.46_ant2-ia_aadb_family,aminoglycoside_2-nucleotidyltransferase_ec_2.7.7.46_ant2-ia_aadb_family,-0.1362,0.1362,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,0.1327,0.1327,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__mpha_family,mpha_family,0.1326,0.1326,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__translation_elongation_factor_g,translation_elongation_factor_g,-0.1323,0.1323,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__cmla6,cmla6,0.132,0.132,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aada15,aada15,0.1307,0.1307,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__pipb2_2,pipb2_2,-0.1274,0.1274,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__hypothetical_protein,hypothetical_protein,-0.126,0.126,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__lsu_ribosomal_protein_l6p_l9e,lsu_ribosomal_protein_l6p_l9e,-0.1251,0.1251,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__chloramphenicolflorfenicol_efflux_mfs_transporter_flor,chloramphenicolflorfenicol_efflux_mfs_transporter_flor,0.1245,0.1245,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__shv-12,shv-12,0.1221,0.1221,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__flor_family,flor_family,0.1212,0.1212,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__kpc-3,kpc-3,0.1211,0.1211,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__macrolide-specific_efflux_protein_maca,macrolide-specific_efflux_protein_maca,-0.1188,0.1188,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__oxa-1_family_class_d_beta-lactamase,oxa-1_family_class_d_beta-lactamase,0.1185,0.1185,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__rpsj,rpsj,0.1154,0.1154,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__ec-5,ec-5,-0.1143,0.1143,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__subclass_b1_beta-lactamase_ec_3.5.2.6_ndm_family,subclass_b1_beta-lactamase_ec_3.5.2.6_ndm_family,0.1141,0.1141,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,0.1141,0.1141,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__type_b-3_chloramphenicol_o-acetyltransferase_catb3,type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.1104,0.1104,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__gdpd,gdpd,0.11,0.11,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__cmla_family,cmla_family,-0.1098,0.1098,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,0.109,0.109,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__catb_family,catb_family,0.1089,0.1089,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__baes,baes,-0.1082,0.1082,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__broad-spectrum_class_a_beta-lactamase_tem-1,broad-spectrum_class_a_beta-lactamase_tem-1,-0.1078,0.1078,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aac3-iic,aac3-iic,0.1073,0.1073,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__acrr,acrr,0.1067,0.1067,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra5,trimethoprim-resistant_dihydrofolate_reductase_dfra5,-0.1047,0.1047,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__tetracycline_efflux_mfs_transporter_teta,tetracycline_efflux_mfs_transporter_teta,0.1047,0.1047,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aac6-ib10,aac6-ib10,0.1043,0.1043,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__shv-64,shv-64,0.1037,0.1037,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__chloramphenicol_o-acetyltransferase_ec_2.3.1.28_catb_family,chloramphenicol_o-acetyltransferase_ec_2.3.1.28_catb_family,0.1034,0.1034,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__baca,baca,-0.1029,0.1029,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__brpmbl,brpmbl,0.1029,0.1029,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__rpob,rpob,-0.1027,0.1027,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__fosa4,fosa4,-0.1012,0.1012,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__vgac,vgac,0.1012,0.1012,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__mefb,mefb,-0.1,0.1,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__soxs,soxs,-0.1,0.1,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__oxa-48,oxa-48,0.1,0.1,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__oxa-48_family,oxa-48_family,0.0998,0.0998,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multidrug_efflux_system_emrab-omf_membrane_fusion_component_emra,multidrug_efflux_system_emrab-omf_membrane_fusion_component_emra,-0.0995,0.0995,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada2,ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada2,0.0994,0.0994,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__pgsa,pgsa,0.0993,0.0993,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.0992,0.0992,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_colistin_resistant_pmrb,escherichia_colistin_resistant_pmrb,-0.0987,0.0987,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__gade,gade,0.0985,0.0985,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_aminoglycoside_n-acetyltransferase_aac3-iid,multispecies_aminoglycoside_n-acetyltransferase_aac3-iid,0.0982,0.0982,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__bleomycin_resistance_protein,bleomycin_resistance_protein,0.0976,0.0976,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aac6-ib-cr,aac6-ib-cr,0.0975,0.0975,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aac3-iia,aac3-iia,0.0963,0.0963,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__pentapeptide_repeat_protein_qnrb_family,pentapeptide_repeat_protein_qnrb_family,0.0959,0.0959,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_sulfonamide-resistant_dihydropteroate_synthase_sul1,multispecies_sulfonamide-resistant_dihydropteroate_synthase_sul1,0.0945,0.0945,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_carbapenem-hydrolyzing_class_d_beta-lactamase_oxa-48,multispecies_carbapenem-hydrolyzing_class_d_beta-lactamase_oxa-48,0.0942,0.0942,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__teta,teta,0.0935,0.0935,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__mdta,mdta,-0.0929,0.0929,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.0927,0.0927,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__shv-1,shv-1,-0.0924,0.0924,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__acrd,acrd,-0.0923,0.0923,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__mdtg,mdtg,0.0915,0.0915,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_ampicillinchloramphenicolquinolonerifampintetracycline_resistant_marr,escherichia_ampicillinchloramphenicolquinolonerifampintetracycline_resistant_marr,-0.0911,0.0911,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__acrf,acrf,-0.0906,0.0906,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__acrad-tolc,acrad-tolc,-0.0905,0.0905,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aac3-via,aac3-via,0.0904,0.0904,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__sul1,sul1,0.0902,0.0902,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__aminoglycoside_o-phosphotransferase_aph3-ib,aminoglycoside_o-phosphotransferase_aph3-ib,-0.0893,0.0893,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__mdtm,mdtm,0.0892,0.0892,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_lincosamide_nucleotidyltransferase_lnug,multispecies_lincosamide_nucleotidyltransferase_lnug,0.0891,0.0891,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra1,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra1,-0.0889,0.0889,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__epta,epta,-0.0888,0.0888,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__oxa-48_family_carbapenem-hydrolyzing_class_d_beta-lactamase_oxa-48,oxa-48_family_carbapenem-hydrolyzing_class_d_beta-lactamase_oxa-48,0.0886,0.0886,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__shv_family,shv_family,0.0868,0.0868,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__bla_2,bla_2,0.0868,0.0868,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multidrug_efflux_system_emrab-omf_inner-membrane_protondrug_antiporter_emrb_mfs_type,multidrug_efflux_system_emrab-omf_inner-membrane_protondrug_antiporter_emrb_mfs_type,-0.0867,0.0867,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__qace,qace,0.0867,0.0867,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multiple_antibiotic_resistance_protein_mara,multiple_antibiotic_resistance_protein_mara,0.0855,0.0855,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__tolc,tolc,0.0853,0.0853,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__tetm,tetm,0.0849,0.0849,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__s12p,s12p,0.0848,0.0848,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__ec-18,ec-18,0.0846,0.0846,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,-0.0843,0.0843,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__acra,acra,0.0834,0.0834,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__escherichia_coli_cyaa_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_cyaa_with_mutation_conferring_resistance_to_fosfomycin,-0.0833,0.0833,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__vapb_protein_antitoxin_to_vapc,vapb_protein_antitoxin_to_vapc,0.0829,0.0829,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__ec-8,ec-8,0.0826,0.0826,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra14,trimethoprim-resistant_dihydrofolate_reductase_dfra14,0.082,0.082,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,-0.0818,0.0818,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__undecaprenyl-diphosphatase_ec_3.6.1.27,undecaprenyl-diphosphatase_ec_3.6.1.27,-0.0815,0.0815,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__tem-30,tem-30,-0.0797,0.0797,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,-0.0794,0.0794,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada2,multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada2,-0.0791,0.0791,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__redox-sensitive_transcriptional_activator_soxr,redox-sensitive_transcriptional_activator_soxr,-0.0789,0.0789,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multidrug_resistance_outer_membrane_protein_mdtp,multidrug_resistance_outer_membrane_protein_mdtp,-0.0788,0.0788,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__folp_2,folp_2,-0.0785,0.0785,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__yokd,yokd,0.0782,0.0782,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__broad-spectrum_class_a_beta-lactamase_shv-1,broad-spectrum_class_a_beta-lactamase_shv-1,-0.0777,0.0777,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__multidrug_efflux_system_mdtabc-tolc_membrane_fusion_component_mdta,multidrug_efflux_system_mdtabc-tolc_membrane_fusion_component_mdta,-0.0774,0.0774,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__qach,qach,0.0773,0.0773,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__gadw,gadw,-0.0773,0.0773,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra1,trimethoprim-resistant_dihydrofolate_reductase_dfra1,0.0773,0.0773,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__rmtb,rmtb,0.0767,0.0767,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
amr__small_multidrug_resistance_smr_efflux_transporter_emre_broad_substrate_specificity,small_multidrug_resistance_smr_efflux_transporter_emre_broad_substrate_specificity,-0.0764,0.0764,absolute_logistic_coefficient,cefotaxime,logistic_regression_balanced
