antibiotic,model,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance
ciprofloxacin,random_forest_balanced,amr__mpha_family_macrolide_2-phosphotransferase,mpha_family_macrolide_2-phosphotransferase,1,18.0,0.0087,0.0087
ciprofloxacin,random_forest_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,1,19.0,0.007,0.007
ciprofloxacin,random_forest_balanced,amr__tetb,tetb,1,20.0,0.0083,0.0083
ciprofloxacin,random_forest_balanced,amr__tem_family,tem_family,1,20.0,0.0075,0.0075
ciprofloxacin,random_forest_balanced,amr__mpha_family,mpha_family,1,20.0,0.0067,0.0067
cefotaxime,logistic_regression_balanced,amr__ctx-m_family,ctx-m_family,3,1.6667,0.6428,0.6428
cefotaxime,logistic_regression_balanced,amr__ctx-m-15,ctx-m-15,3,1.6667,0.6406,0.6406
cefotaxime,logistic_regression_balanced,amr__cmy-2,cmy-2,3,3.3333,0.5106,0.5106
cefotaxime,logistic_regression_balanced,amr__ctx-m-14,ctx-m-14,3,5.0,0.4752,0.4752
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,3,5.0,0.4599,0.4599
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,3,6.6667,0.4522,0.4522
cefotaxime,logistic_regression_balanced,amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,3,6.6667,0.4443,0.4443
cefotaxime,logistic_regression_balanced,amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,3,7.6667,0.3838,0.3838
