feature,gene,importance,abs_importance,importance_type,antibiotic,model,model_label
amr__iles,iles,1.7e-05,1.7e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_aminoglycoside_o-phosphotransferase_aph3-ia,multispecies_aminoglycoside_o-phosphotransferase_aph3-ia,1.6e-05,1.6e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__shv-12,shv-12,1.5e-05,1.5e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__suli,suli,1.4e-05,1.4e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ybjg,ybjg,1.3e-05,1.3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_ampc_beta-lactamase,escherichia_coli_ampc_beta-lactamase,1.3e-05,1.3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra5,trimethoprim-resistant_dihydrofolate_reductase_dfra5,1.3e-05,1.3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aac6-ib7,aac6-ib7,1.3e-05,1.3e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aada21,aada21,1.2e-05,1.2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ibaac6-ii,aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ibaac6-ii,1.2e-05,1.2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aac3-via,aac3-via,1.2e-05,1.2e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__leuo_2,leuo_2,1.1e-05,1.1e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__rpsl,rpsl,1.1e-05,1.1e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__bcr_2,bcr_2,1.1e-05,1.1e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_blaec_family_class_c_beta-lactamase,multispecies_blaec_family_class_c_beta-lactamase,1e-05,1e-05,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__pipb2_2,pipb2_2,8e-06,8e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aminoglycoside_n-acetyltransferase_aac3-via,aminoglycoside_n-acetyltransferase_aac3-via,8e-06,8e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__streptothricin_n-acetyltransferase_sat2,streptothricin_n-acetyltransferase_sat2,8e-06,8e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtp_1,mdtp_1,8e-06,8e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ugpq,ugpq,7e-06,7e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtp_2,mdtp_2,7e-06,7e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aada8,aada8,5e-06,5e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__bcr,bcr,5e-06,5e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__basr,basr,5e-06,5e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ctx-m-1,ctx-m-1,3e-06,3e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__gadw_1,gadw_1,2e-06,2e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__qac,qac,2e-06,2e-06,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
