antibiotic,feature,n_present,prevalence_pct
ciprofloxacin,amr__bleomycin_binding_protein_ble-mbl,16,0.219
ciprofloxacin,amr__bleomycin_binding_protein_blmt,2,0.027
ciprofloxacin,amr__bleomycin_resistance_protein,7,0.096
ciprofloxacin,amr__blmt,1,0.014
ciprofloxacin,amr__broad-spectrum_class_a_beta-lactamase_shv-1,14,0.191
ciprofloxacin,amr__broad-spectrum_class_a_beta-lactamase_tem-1,382,5.224
ciprofloxacin,amr__broad-spectrum_class_a_beta-lactamase_tem-135,2,0.027
ciprofloxacin,amr__brpmbl,16,0.219
ciprofloxacin,amr__brucella_suis_mprf,15,0.205
ciprofloxacin,amr__cara,1,0.014
ciprofloxacin,amr__carb-2,1,0.014
ciprofloxacin,amr__carb-21,4,0.055
ciprofloxacin,amr__carb-3,2,0.027
ciprofloxacin,amr__carb-31,1,0.014
ciprofloxacin,amr__carb-56,4,0.055
ciprofloxacin,amr__carb-57,2,0.027
ciprofloxacin,amr__carbapenem-hydrolyzing_class_a_beta-lactamase_kpc-2,1,0.014
ciprofloxacin,amr__carbapenem-hydrolyzing_class_a_beta-lactamase_kpc-3,4,0.055
ciprofloxacin,amr__carbohydrate-selective_porin_oprb,3,0.041
ciprofloxacin,amr__cat,17,0.232
ciprofloxacin,amr__cat3,1,0.014
ciprofloxacin,amr__cat_1,1,0.014
ciprofloxacin,amr__cat_2,1,0.014
ciprofloxacin,amr__cata1,67,0.916
ciprofloxacin,amr__cata1cata4_family,65,0.889
ciprofloxacin,amr__cata2_family,7,0.096
ciprofloxacin,amr__catalase-peroxidase_katg_ec_1.11.1.21,207,2.831
ciprofloxacin,amr__catb10,933,12.758
ciprofloxacin,amr__catb3,131,1.791
ciprofloxacin,amr__catb_family,60,0.82
ciprofloxacin,amr__cati,45,0.615
ciprofloxacin,amr__catii,7,0.096
ciprofloxacin,amr__catii_from_escherichia_coli_k-12,5,0.068
ciprofloxacin,amr__cdp-diacylglycerol--glycerol-3-phosphate_3-phosphatidyltransferase_ec_2.7.8.5,246,3.364
ciprofloxacin,amr__ceob,7,0.096
ciprofloxacin,amr__cephalosporin-hydrolyzing_class_c_beta-lactamase_ec-8,155,2.12
ciprofloxacin,amr__chloramphenicol_efflux_mfs_transporter_cmla1,20,0.273
ciprofloxacin,amr__chloramphenicol_efflux_mfs_transporter_cmla5,2,0.027
ciprofloxacin,amr__chloramphenicol_efflux_mfs_transporter_cmla6,4,0.055
ciprofloxacin,amr__chloramphenicol_o-acetyltransferase_ec_2.3.1.28_cata1cata4_family,26,0.356
ciprofloxacin,amr__chloramphenicol_o-acetyltransferase_ec_2.3.1.28_cata2_family,1,0.014
ciprofloxacin,amr__chloramphenicol_o-acetyltransferase_ec_2.3.1.28_catb_family,29,0.397
ciprofloxacin,amr__chloramphenicol_resistance_mfs_efflux_pump_cmla_family,4,0.055
